Station Name,Latitude,Longitude,Bikes available
Chilco & Barclay,49.291909,-123.140713,6
St George & Broadway,49.262321,-123.09306,4
Britannia Parking Lot,49.275882,-123.071865,7
Morton & Denman,49.28803,-123.142135,14
Thornton & National,49.273777,-123.092723,10
Burrard & 14th,49.259469,-123.145718,2
Olympic Village Station,49.266314,-123.116011,3
8th & Macdonald,49.264928,-123.168068,11
30th & Ontario,49.243375,-123.104978,6
Lakewood & Triumph,49.283968,-123.061615,7
13th & Cambie,49.259579,-123.114769,4
Arbutus & Nanton,49.247854,-123.153422,12
14th & Fraser,49.257939,-123.089531,7
15th & Victoria (Trout Lake),49.256857,-123.065646,3
Robson & Hornby,49.282758,-123.122092,11
Cardero & Robson,49.289255,-123.132677,11
1st & Scotia,49.2685027,-123.0975014,14
10th & Fraser,49.26151,-123.089413,1
Ontario & 5th,49.266724,-123.104824,14
Heather & 16th,49.256845,-123.120071,8
Richards & Smithe,49.279259,-123.119145,6
Robson & Beatty,49.277773,-123.114237,11
Maple Tree Square,49.283482,-123.103738,17
22nd & Main,49.25094,-123.101306,5
Carrall & Seawall,49.276294,-123.106534,5
Charles & Woodland,49.2731,-123.0732,11
1st & Manitoba,49.27023,-123.10651,6
St Catherines & 7th,49.264466,-123.085183,3
Triumph & Victoria,49.283986,-123.065264,5
18th & Main,49.254667,-123.101389,4
St Catherines & 10th,49.261353,-123.085333,1
Nelson & Richards,49.277844,-123.120942,2
Arbutus & 10th,49.262835,-123.152626,2
Comox & Denman,49.288444,-123.139203,5
Prince Edward & 14th,49.258352,-123.096337,8
Alexander & Railway,49.283992,-123.091206,8
Chilco & Beach,49.28972,-123.144028,12
Richards & Cordova,49.284554,-123.111031,13
Orchard Commons,49.259999,-123.250902,11
Strangway Building,49.2661,-123.24568,2
Yew & Broadway,49.263523,-123.155267,4
Woodland & 10th,49.261263,-123.073707,7
Ontario & 16th,49.256825,-123.105234,2
14th & Alder,49.258819,-123.131317,6
Chestnut & McNicoll,49.275938,-123.145939,7
Dunbar & 6th,49.266636,-123.183661,11
Stanley Park - Vancouver Aquarium,49.299292,-123.130281,13
Yaletown-Roundhouse Station,49.274566,-123.121817,5
Smithe & Burrard,49.282503,-123.124697,7
Abbott & Cordova,49.282759,-123.106955,7
Sasamat & 10th,49.264019,-123.209176,13
Vine & 4th,49.268339,-123.157443,7
10th & Ontario,49.262062,-123.104656,1
Pine & 10th,49.262822,-123.14338,6
Wallace & 4th,49.268974,-123.190701,10
Pacific & Richards,49.273663,-123.127075,2
7th &  Alder,49.265198,-123.131043,3
Canada Place,49.287214,-123.11287,13
Heather & 18th,49.255034,-123.120226,5
14th & Oak,49.258761,-123.127071,8
Bute & Comox,49.283343,-123.131099,8
Comox & Broughton,49.285253,-123.134356,2
Station & Terminal,49.272172,-123.097978,9
Stanley Park - Third Beach Parking Lot,49.302577,-123.155616,20
Woodland & 4th,49.266751,-123.073501,9
8th & Ash,49.264215,-123.117772,3
Burrard & Drake,49.27808,-123.130557,12
10th & Kingsway,49.261973,-123.09725,8
10th & Oak,49.262255,-123.126217,5
Hawks & Union,49.277333,-123.087359,2
Marinaside & Cooperage,49.273833,-123.114373,6
Alberni & Jervis,49.28763,-123.127245,17
7th & Arbutus,49.265605,-123.152566,5
14th & Ontario,49.25849,-123.104799,10
King Edward & Cambie,49.249184,-123.116141,0
1st & Fir,49.270783,-123.141564,15
Arbutus & 16th,49.257654,-123.153212,13
War Memorial Gym,49.2665793,-123.2485487,19
28th & Willow,49.246243,-123.124373,13
Arbutus Greenway & Fir,49.266774,-123.141135,3
West Mall Swing Space Building,49.263073,-123.254307,10
McLean & Pender,49.280427,-123.074082,14
Bute & Barclay,49.284893,-123.128685,9
Balsam & Cornwall,49.273011,-123.159663,8
Hastings & Broughton,49.290112,-123.127062,13
Seymour & Cordova,49.28512,-123.11242,15
Alder & 11th,49.261742,-123.13148,6
10th & Columbia,49.262206,-123.109091,9
Heather & 14th,49.259183,-123.120126,6
Commercial & 20th,49.252656,-123.067965,0
Kitsilano Beach Park,49.273355,-123.154493,0
Rolston & Granville,49.274232,-123.129998,9
Cordova & Bute,49.289124,-123.12196,3
12th & Yukon (City Hall),49.260599,-123.113504,4
Blenheim & 4th,49.268837,-123.177633,10
Wylie & 2nd,49.267725,-123.11311,7
Thurlow & Pendrell,49.280881,-123.130672,3
14th & Cambie,49.258763,-123.115392,3
Granville & Georgia,49.282409,-123.118541,7
Grant & Commercial,49.271377,-123.069416,5
8th & Ontario,49.263837,-123.105173,2
Hornby & Nelson,49.28062,-123.12482,11
šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,49.283227,-123.120523,14
Dunsmuir & Beatty,49.279764,-123.110154,14
Robson & Granville,49.281506,-123.120101,14
4th & Commercial,49.266969,-123.069936,2
8th & Scotia,49.263635,-123.099236,7
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,6
7th & Granville,49.2653,-123.13811,3
Harwood & Bute,49.28026,-123.135244,11
Creekside Park North,49.2756,-123.102661,12
Nicola & Robson,49.2885056,-123.1312375,0
10th & Commercial,49.261403,-123.070102,6
10th & Cambie,49.262487,-123.114397,24
Quebec & 1st,49.27033,-123.10275,8
Lakewood & Oxford,49.285575,-123.061575,5
Carolina & Great Northern Way,49.267266,-123.090786,12
Columbia & 5th,49.266476,-123.109389,16
East Blvd & 37th,49.238105,-123.154966,6
Trafalgar & Cornwall,49.272969,-123.164325,18
5th & Arbutus,49.267222,-123.153157,11
Stanley Park - Information Booth,49.297933,-123.130758,16
14th & Main,49.258425,-123.100792,6
Georgia & Main,49.278529,-123.100017,15
Agronomy & East Mall,49.261736,-123.24648,9
Alma & Point Grey,49.27247,-123.185643,2
20th & Main,49.252691,-123.101289,4
Nelson & Mainland,49.276436,-123.11877,4
Point Grey & Blenheim,49.271471,-123.17731,2
Yukon & 6th,49.265939,-123.1129,10
Burrard & 7th,49.265336,-123.145823,2
14th & Granville,49.25894,-123.139272,12
Wall & Eton,49.287464,-123.060771,3
Beach & Cardero,49.283298,-123.142288,12
Cypress & 4th,49.268269,-123.147885,6
Bute & Robson,49.285836,-123.127265,0
Richards & Robson,49.280216,-123.117639,7
Glen & Union,49.277469,-123.081315,7
8th & Yukon,49.263962,-123.112621,9
1st & Chestnut,49.270721,-123.146175,9
10th & Main,49.262141,-123.101961,6
Georgia & Homer,49.280787,-123.115271,8
York & Yew,49.271741,-123.155421,19
Ontario & Seawall,49.271721,-123.104207,9
10th & Granville,49.262598,-123.138921,2
15th & Knight,49.256496,-123.075426,4
Ontario & 23rd,49.249722,-123.104991,2
Dunbar & Broadway,49.264579,-123.18373,10
Carrall & Hastings,49.28117,-123.104419,8
8th & Commercial,49.263242,-123.070521,10
Charleson Park,49.267628,-123.127698,3
Beach & Hornby,49.275295,-123.132585,7
Princess & Union,49.277615,-123.091654,1
3rd & Quebec,49.268216,-123.103168,14
Stanley Park - Second Beach South,49.294318,-123.148808,6
6th & Carolina,49.265213,-123.090785,8
UBC Bookstore,49.265207,-123.250139,3
Balaclava & Broadway,49.264483,-123.173926,10
Expo & Carrall,49.278004,-123.105664,8
Beach & Seymour,49.273568,-123.129935,13
27th & Main,49.247204,-123.101549,10
Stanley Park - Second Beach North,49.29534,-123.150433,12
Keith & 6th,49.265005,-123.079481,5
Jericho Beach,49.271221,-123.191133,1
Point Grey & Bayswater,49.271044,-123.170661,12
7th & Woodland,49.264251,-123.073853,5
Aquatic Centre,49.27821,-123.136972,7
Georgia & Thurlow,49.285953,-123.124066,11
Cordova & Granville,49.2856698,-123.1125432,12
Vanier Park,49.275717,-123.142564,15
Trafalgar & Broadway,49.264326,-123.164725,10
Napier & Commercial,49.274881,-123.069323,10
7th & Laurel,49.265071,-123.123864,5
Science World,49.273691,-123.102232,10
Pender & Victoria,49.280197,-123.065859,6
Cypress & 16th,49.25741,-123.148531,0
Spyglass & Seawall,49.270877,-123.115103,9
Keefer & Hawks,49.279235,-123.087528,10
29th & Cambie,49.245135,-123.116098,6
Victoria & 10th,49.261188,-123.066009,0
Commercial & Adanac,49.277436,-123.070427,7
Columbia & 14th,49.258902,-123.109596,6
Dunsmuir & Richards,49.282214,-123.114101,13
Campbell & Hastings,49.280852,-123.084746,7
Franklin & Nanaimo,49.282087,-123.056909,8
Charles & Commercial,49.273103,-123.069892,11
Beatty & Nelson,49.275679,-123.116963,5
Trimble & 8th,49.2658,-123.20596,8
David Lam Park,49.270905,-123.126006,11
Burrard & 4th,49.267859,-123.145782,9
Cypress & Cornwall,49.272827,-123.147744,4
Keefer & Princess,49.279369,-123.091241,8
Bidwell & Burnaby,49.28526,-123.141809,8
11th & Kingsway,49.261122,-123.097571,3
Pender & Burrard,49.287097,-123.118551,12
Columbia & 1st,49.269969,-123.109623,3
Melville & Bute,49.287782,-123.12395,9
Anderson & 2nd,49.269361,-123.13782,14
5th & Main,49.266456,-123.100324,7
Alexander & Dunlevy,49.284062,-123.095097,12
13th & St George,49.258817,-123.092797,5
Commercial & Pandora,49.283236,-123.070443,12
Grandview & Commercial,49.263746,-123.069892,5
Expo & Smithe,49.276115,-123.114496,8
Cypress & 14th,49.25919,-123.148268,0
Brock Commons,49.269172,-123.25279,10
Beach & Broughton,49.281301,-123.139108,0
Arbutus Greenway & 14th,49.258924,-123.152591,0
Alexander & Main,49.284157,-123.099917,13
Hornby & Drake,49.277178,-123.13,3
Highbury & 8th,49.265442,-123.187738,10
Pharmaceutical Sciences,49.26262,-123.2431,6
Haro & Denman,49.290587,-123.13625,9
Windsor & 14th,49.257985,-123.083366,1
Prince Edward & 16th,49.256694,-123.096579,6
Cardero & Davie,49.285512,-123.1384,2
Stamps Landing,49.26893,-123.11813,6
Marinaside & Davie,49.273471,-123.118016,2
Adanac & McLean,49.277665,-123.073653,17
Bute & Davie,49.282055,-123.133045,9
Victoria & 4th,49.266725,-123.065925,1
Heather & 29th,49.245535,-123.120496,9
McNicoll & Arbutus,49.276292,-123.150592,12
Jervis & Robson,49.28691,-123.128818,7
IK Barber Learning Centre,49.267561,-123.252261,9
Granville Island,49.27029,-123.135025,27
6th & Prince Edward,49.265242,-123.095577,2
Broughton & Davie,49.283749,-123.136133,2
Adanac & Lakewood,49.27751,-123.061429,9
Cypress & 10th,49.262944,-123.148109,1
Thunderbird Parkade,49.261655,-123.241924,8
Burrard Station (Melville & Dunsmuir),49.285871,-123.12105,22
22nd & Cambie,49.251358,-123.115637,4
Glen & Broadway,49.262242,-123.081459,4
Stanley Park - Totem Poles,49.298657,-123.121176,16
Davie & Beach,49.287528,-123.142139,16
Pender & Gore,49.280284,-123.097052,3
Richards & Davie,49.275683,-123.124388,2
Pender & Commercial,49.280332,-123.070068,12
18th & Cambie,49.254818,-123.114785,6
2nd & Commercial,49.268616,-123.069908,8
Wesbrook Village - Berton & Shrum,49.25478,-123.23621,2
Chilco & Robson,49.293257,-123.138563,14
Keefer & Columbia,49.279342,-123.101822,8
Rogers Tower,49.288682,-123.11818,5
Woodland & Graveley,49.270684,-123.073562,7
Cardero & Bayshore,49.291597,-123.129158,13
Nelson & Denman,49.2890705989865,-123.138407369468,11
8th & Fraser,49.263382,-123.088837,4
Balaclava & 6th,49.266924,-123.173849,16
Cambie & Water,49.284605,-123.108662,25
Helmcken & Burrard,49.279938,-123.127478,9
Hornby & Pender,49.28602,-123.116624,13
7th & Heather,49.265089,-123.119425,2
Union & Dunlevy,49.277595,-123.09583,3
Richards & Helmcken,49.277141,-123.122589,4
Keefer & Abbott,49.279821,-123.10802,14
8th & Prince Edward,49.263518,-123.09568,1
